ID,Quality
sbs2data_2018_09_01_08_04_51_328,3
sbs2data_2018_09_01_08_36_16_331,4
sbs2data_2018_09_01_08_56_49_330,3
sbs2data_2018_09_01_09_08_16_335,1
sbs2data_2018_09_01_09_44_21_337,1
sbs2data_2018_09_01_10_02_05_334,1
sbs2data_2018_09_01_10_05_06_339,3
sbs2data_2018_09_01_10_32_48_340,5
sbs2data_2018_09_01_10_51_53_336,2
sbs2data_2018_09_01_10_52_06_332,5
sbs2data_2018_09_01_11_15_15_345DJP,7
sbs2data_2018_09_01_11_33_40_98,3
sbs2data_2018_09_01_11_38_26_333,5
sbs2data_2018_09_01_11_56_10_342,8
sbs2data_2018_09_01_12_24_19_105,4
sbs2data_2018_09_01_12_30_52_341,8
sbs2data_2018_09_01_12_43_34_344,9
sbs2data_2018_09_01_12_44_58_343,7
sbs2data_2018_09_01_13_05_18_347,8
sbs2data_2018_09_01_13_38_50_345YLB,1
sbs2data_2018_09_01_15_09_46_346,8
sbs2data_2018_08_31_00_25_37_63,7
sbs2data_2018_08_31_00_42_18_31,NAN
sbs2data_2018_08_31_00_50_37_55,7
sbs2data_2018_08_31_01_31_18_297,NAN
sbs2data_2018_08_31_01_49_59_300,9
sbs2data_2018_08_31_01_56_35_298,7
sbs2data_2018_08_31_02_43_38_299,5
sbs2data_2018_08_31_07_50_36_284,NAN
sbs2data_2018_08_31_08_04_57_302,NAN
sbs2data_2018_08_31_08_29_26_304,NAN
sbs2data_2018_08_31_08_46_14_305,NAN
sbs2data_2018_08_31_08_53_09_Part2_302,6
sbs2data_2018_08_31_09_13_13_306,NAN
sbs2data_2018_08_31_09_41_32_303,NAN
sbs2data_2018_08_31_09_54_02_309,NAN
sbs2data_2018_08_31_10_11_09_307,NAN
sbs2data_2018_08_31_10_32_51_308,NAN
sbs2data_2018_08_31_10_56_30_312,9
sbs2data_2018_08_31_11_01_25_67,6
sbs2data_2018_08_31_11_18_16_310,8
sbs2data_2018_08_31_11_53_31_213,7.5*
sbs2data_2018_08_31_12_07_35_88,8
sbs2data_2018_08_31_12_17_49_83,6
sbs2data_2018_08_31_12_31_47_314,7
sbs2data_2018_08_31_12_58_31_313,4
sbs2data_2018_08_31_13_12_34_311,6
sbs2data_2018_08_31_13_20_34_316,4
sbs2data_2018_08_31_13_26_06_82,4
sbs2data_2018_08_31_13_41_13_317,8.5*
sbs2data_2018_08_31_14_05_47_315,6
sbs2data_2018_08_31_14_20_04_112,6
sbs2data_2018_08_31_14_30_05_94,8*
sbs2data_2018_08_31_14_33_13_318,8
sbs2data_2018_08_31_14_53_21_72,4
sbs2data_2018_08_31_15_11_00_68,7
sbs2data_2018_08_31_15_13_15_3,8
sbs2data_2018_08_31_15_16_15_92,7
sbs2data_2018_08_31_15_29_53_324,6
sbs2data_2018_08_31_15_44_42_320,6
sbs2data_2018_08_31_16_12_48_69,8
sbs2data_2018_08_31_16_15_42_321,7
sbs2data_2018_08_31_16_18_51_66,7
sbs2data_2018_08_31_16_31_03_325,3
sbs2data_2018_08_31_16_43_30_part2_321,8
sbs2data_2018_08_31_16_54_37_326,6
sbs2data_2018_08_31_17_17_08_322,7
sbs2data_2018_08_31_17_23_47_323,3
sbs2data_2018_08_31_17_27_40_172,6
sbs2data_2018_08_31_17_38_11_327,6
sbs2data_2018_09_03_08_06_36_122,7
sbs2data_2018_09_03_08_45_40_348,8
sbs2data_2018_09_03_08_51_58_349,10
sbs2data_2018_09_03_09_00_19_352,9
sbs2data_2018_09_03_09_49_11_354,8
sbs2data_2018_09_03_09_50_15_351,NAN
sbs2data_2018_09_03_09_55_18_350,1
sbs2data_2018_09_03_10_10_40_353,9
sbs2data_2018_09_03_10_52_23_123,9
sbs2data_2018_09_03_10_59_23_355,8
sbs2data_2018_09_03_11_10_36_151,9
sbs2data_2018_09_03_11_11_43_119,NAN
sbs2data_2018_09_03_11_22_56_Part2_119,7
sbs2data_2018_09_03_11_38_37_124,7
sbs2data_2018_09_03_11_38_39_138,7
sbs2data_2018_09_03_11_49_34_148,2
sbs2data_2018_09_03_11_58_28_Part2_148,5
sbs2data_2018_09_03_12_07_47_360NAP,8
sbs2data_2018_09_03_12_20_49_358,9
sbs2data_2018_09_03_12_45_11_359KG,7
sbs2data_2018_09_03_12_45_21_357,7
sbs2data_2018_09_03_12_56_52_460,4
sbs2data_2018_09_03_13_11_39_140,9
sbs2data_2018_09_03_13_29_13_361,6
sbs2data_2018_09_03_13_52_40_362,8
sbs2data_2018_09_03_13_54_22_365,3
sbs2data_2018_09_03_14_02_34_129,2
sbs2data_2018_09_03_14_18_46_366,no_ID
sbs2data_2018_09_03_14_32_42_359DML,7
sbs2data_2018_09_03_14_38_32_356,7
sbs2data_2018_09_03_14_54_12_360ND,1
sbs2data_2018_09_03_15_10_41_364,8
sbs2data_2018_09_03_15_14_37_117,4
sbs2data_2018_09_03_15_24_23_367,NAN
sbs2data_2018_09_03_15_37_48_368,7
sbs2data_2018_09_03_15_59_54_363,5
sbs2data_2018_09_04_08_11_03_369,4
sbs2data_2018_09_04_08_19_37_370,4
sbs2data_2018_09_04_08_31_11_163,6
sbs2data_2018_09_04_08_35_46_371,7
sbs2data_2018_09_04_09_19_41_373,7
sbs2data_2018_09_04_09_45_55_169,6
sbs2data_2018_09_04_10_12_06_190,6
sbs2data_2018_09_04_10_13_12_372,5
sbs2data_2018_09_04_10_21_06_375,2
sbs2data_2018_09_04_10_37_33_374,8
sbs2data_2018_09_04_10_50_04_188,8
sbs2data_2018_09_04_11_16_58_174,8
sbs2data_2018_09_04_11_17_42_157,5
sbs2data_2018_09_04_11_26_04_Part1_377,6
sbs2data_2018_09_04_11_44_32_Part2_377,2
sbs2data_2018_09_04_11_59_28_181,5
sbs2data_2018_09_04_12_25_21_378,7
sbs2data_2018_09_04_12_26_12_180,5
sbs2data_2018_09_04_12_29_41_59,9
sbs2data_2018_09_04_12_32_30_160,5
sbs2data_2018_09_04_12_35_42_182,5
sbs2data_2018_09_04_12_55_53_385,7
sbs2data_2018_09_04_13_28_09_153,8
sbs2data_2018_09_04_13_28_54_384,9
sbs2data_2018_09_04_13_33_20_154,7
sbs2data_2018_09_04_13_39_43_379,5
sbs2data_2018_09_04_13_57_44_387DM,8
sbs2data_2018_09_04_13_59_22_386CO,1
sbs2data_2018_09_04_14_11_30_380,7
sbs2data_2018_09_04_14_32_41_383,8
sbs2data_2018_09_04_14_33_08_381,3
sbs2data_2018_09_04_14_43_33_382,8
sbs2data_2018_09_04_15_05_27_387FBD,7
sbs2data_2018_09_04_15_14_35_386AD,7
sbs2data_2018_09_05_08_30_23_388,4
sbs2data_2018_09_05_08_47_19_212,NAN
sbs2data_2018_09_05_08_50_19_389,8
sbs2data_2018_09_05_08_53_30_194,7.5*
sbs2data_2018_09_05_09_31_51_214,6
sbs2data_2018_09_05_09_53_12_Part2_194,6**
sbs2data_2018_09_05_10_06_40_196,7
sbs2data_2018_09_05_10_09_30_390,7
sbs2data_2018_09_05_10_14_51_197,7
sbs2data_2018_09_05_10_47_47_201,4
sbs2data_2018_09_05_10_54_12_217,4
sbs2data_2018_09_05_11_19_05_391,4
sbs2data_2018_09_05_11_21_12_086,9
sbs2data_2018_09_05_11_22_08_204,6
sbs2data_2018_09_05_11_39_45_393,9
sbs2data_2018_09_05_12_07_57_395,7
sbs2data_2018_09_05_12_33_01_392,9
sbs2data_2018_09_05_12_34_56_396,NAN
sbs2data_2018_09_05_12_35_49_208,8
